b1_fin	b2_ini	b2_med				b1_fin_rom	b2_fin_rom
ㄱ	ㄴ		학닌	hangnin	ngn	ng	n	TRUE
ㄱ	ㄹ		학린	hangnin	ngn	ng	n	TRUE
ㄱ	ㅁ		학민	hangmin	ngm	ng	m	TRUE
ㄱ	ㅇ		학인	hagin	g	g		TRUE
ㄱ	ㅎ		학힌	hakin	k	k		TRUE
ㄲ	ㄴ		핚닌	hangnin	ngn	ng	n	TRUE
ㄲ	ㅁ		핚민	hangmin	ngm	ng	m	TRUE
ㄲ	ㅇ		핚인	hakkin	kk	kk		TRUE
ㄳ	ㄴ		핛닌	hangnin	ngn	ng	n	TRUE
ㄳ	ㅁ		핛민	hangmin	ngm	ng	m	TRUE
ㄳ	ㅇ		핛인	haksin	ks	ks		TRUE
ㄴ	ㄹ		한린	hallin	ll	l	l	TRUE
ㄵ	ㅇ		핝인	hanjin	nj	nj		TRUE
ㄵ	ㅎ		핝힌	hanchin	nch	nch		TRUE
ㄶ	ㄱ		핞긴	hankin	nk	n	k	TRUE
ㄶ	ㄷ		핞딘	hantin	nt	n	t	TRUE
ㄶ	ㅈ		핞진	hanchin	nch	n	ch	TRUE
ㄷ	ㄴ		핟닌	hannin	nn	n	n	TRUE
ㄷ	ㅁ		핟민	hanmin	nm	n	m	TRUE
ㄷ	ㅇ		핟안	hadan	d	d		TRUE
ㄷ	ㅇ	ㅣ	핟인	hajin	j	j		TRUE
ㄷ	ㅎ		핟힌	hatin	t	t		TRUE
ㄹ	ㄴ		할닌	hallin	ll	l	l	TRUE
ㄹ	ㄹ		할린	hallin	ll	l	l	TRUE
ㄹ	ㅇ		할인	harin	r	r		TRUE
ㄺ	ㄴ		핡닌	hangnin	ngn	ng	n	TRUE
ㄺ	ㅁ		핡민	hangmin	ngm	ng	m	TRUE
ㄺ	ㅇ		핡인	halgin	lg	lg		TRUE
ㄺ	ㅎ		핡힌	halkin	lk	lk		TRUE
ㄻ	ㄹ		핢린	hamnin	mn	m	n	TRUE
ㄻ	ㅇ		핢인	halmin	lm	lm		TRUE
ㄼ	ㄴ		핣닌	hamnin	mn	m	n	TRUE
ㄼ	ㅁ		핣민	hammin	mm	m	m	TRUE
ㄼ	ㅇ		핣인	halbin	lb	lb		TRUE
ㄼ	ㅎ		핣힌	halpin	lp	lp		TRUE
ㄽ	ㅇ		핤인	halsin	ls	ls		TRUE
ㄾ	ㅇ		핥안	haltan	lt	lt		TRUE
ㄾ	ㅇ	ㅣ	핥인	halchin	lch	lch		TRUE
